pkt_id,src,rsu,gen_time,enq_time,start_tx,end_tx,rx_time,success,reason,size_bits
pkt_178,test_vehicle_4,rsu_20,31.1,31.1,31.1,31.10040989772865,31.10040989772865,True,ok,8192
pkt_172,flow_ew_full.0,rsu_1,31.1,31.1,31.2,31.200409719400948,31.200409719400948,True,ok,8192
pkt_173,flow_ew_j2.0,rsu_1,31.1,31.1,31.3,31.30040963035194,31.30040963035194,True,ok,8192
pkt_179,test_vehicle_1,rsu_2,31.3,31.3,31.3,31.300409623268845,31.300409623268845,True,ok,8192
pkt_180,test_vehicle_2,rsu_14,31.3,31.3,31.3,31.30040983052773,31.30040983052773,True,ok,8192
pkt_183,flow_ew_full.1,rsu_0,32.1,32.1,32.1,32.10040961781697,32.10040961781697,True,ok,8192
pkt_181,emergency_1,rsu_1,32.1,32.1,32.1,32.10040988054413,32.10040988054413,True,ok,8192
pkt_188,test_vehicle_3,rsu_2,32.1,32.1,32.1,32.100409821065575,32.100409821065575,True,ok,8192
pkt_186,flow_ns_j2.0,rsu_12,32.1,32.1,32.1,32.10040991969104,,False,rx_error,8192
pkt_187,flow_ns_j3.0,rsu_18,32.1,32.1,32.1,32.10040969606427,32.10040969606427,True,ok,8192
pkt_189,test_vehicle_4,rsu_20,32.1,32.1,32.1,32.100409847815186,32.100409847815186,True,ok,8192
pkt_182,flow_ew_full.0,rsu_1,32.1,32.1,32.2,32.200409675976644,32.200409675976644,True,ok,8192
pkt_184,flow_ew_j2.0,rsu_1,32.1,32.1,32.3,32.30040960997124,32.30040960997124,True,ok,8192
pkt_185,flow_ew_j2.1,rsu_1,32.1,32.1,32.4,32.400409911038814,32.400409911038814,True,ok,8192
pkt_190,test_vehicle_1,rsu_2,32.4,32.4,32.4,32.4004096315485,32.4004096315485,True,ok,8192
pkt_191,test_vehicle_2,rsu_14,32.4,32.4,32.4,32.40040978296939,32.40040978296939,True,ok,8192
pkt_194,flow_ew_full.1,rsu_0,33.1,33.1,33.1,33.10040966751432,33.10040966751432,True,ok,8192
pkt_192,emergency_1,rsu_1,33.1,33.1,33.1,33.100409928119326,33.100409928119326,True,ok,8192
pkt_200,test_vehicle_3,rsu_2,33.1,33.1,33.1,33.10040977457346,33.10040977457346,True,ok,8192
pkt_198,flow_ns_j2.0,rsu_13,33.1,33.1,33.1,33.10040990392331,33.10040990392331,True,ok,8192
pkt_199,flow_ns_j3.0,rsu_18,33.1,33.1,33.1,33.10040973545367,33.10040973545367,True,ok,8192
pkt_201,test_vehicle_4,rsu_20,33.1,33.1,33.1,33.10040979797735,33.10040979797735,True,ok,8192
pkt_197,flow_ew_j2.2,rsu_0,33.1,33.1,33.2,33.2004096223542,33.2004096223542,True,ok,8192
pkt_193,flow_ew_full.0,rsu_1,33.1,33.1,33.2,33.20040962992871,33.20040962992871,True,ok,8192
pkt_195,flow_ew_j2.0,rsu_1,33.1,33.1,33.3,33.30040964693936,33.30040964693936,True,ok,8192
pkt_196,flow_ew_j2.1,rsu_1,33.1,33.1,33.4,33.400409870231215,33.400409870231215,True,ok,8192
pkt_202,test_vehicle_1,rsu_2,33.4,33.4,33.4,33.40040968014002,33.40040968014002,True,ok,8192
pkt_203,test_vehicle_2,rsu_14,33.4,33.4,33.4,33.40040973972405,33.40040973972405,True,ok,8192
pkt_206,flow_ew_full.1,rsu_0,34.1,34.1,34.1,34.10040971764556,34.10040971764556,True,ok,8192
pkt_205,flow_ew_full.0,rsu_1,34.1,34.1,34.1,34.10040961488896,34.10040961488896,True,ok,8192
pkt_204,emergency_1,rsu_2,34.1,34.1,34.1,34.10040989106253,34.10040989106253,True,ok,8192
pkt_210,flow_ns_j2.0,rsu_13,34.1,34.1,34.1,34.100409860717036,34.100409860717036,True,ok,8192
pkt_211,flow_ns_j3.0,rsu_18,34.1,34.1,34.1,34.10040977483775,34.10040977483775,True,ok,8192
pkt_213,test_vehicle_4,rsu_20,34.1,34.1,34.1,34.10040974803595,34.10040974803595,True,ok,8192
pkt_209,flow_ew_j2.2,rsu_0,34.1,34.1,34.2,34.20040966921948,34.20040966921948,True,ok,8192
pkt_207,flow_ew_j2.0,rsu_1,34.1,34.1,34.2,34.200409681213905,34.200409681213905,True,ok,8192
pkt_212,test_vehicle_3,rsu_2,34.1,34.1,34.2,34.20040972341214,34.20040972341214,True,ok,8192
pkt_208,flow_ew_j2.1,rsu_1,34.1,34.1,34.3,34.30040983352682,34.30040983352682,True,ok,8192
pkt_214,test_vehicle_1,rsu_2,34.4,34.4,34.4,34.400409728921204,34.400409728921204,True,ok,8192
pkt_215,test_vehicle_2,rsu_14,34.4,34.4,34.4,34.40040969647381,34.40040969647381,True,ok,8192
pkt_218,flow_ew_full.1,rsu_0,35.1,35.1,35.1,35.10040976794352,35.10040976794352,True,ok,8192
pkt_217,flow_ew_full.0,rsu_1,35.1,35.1,35.1,35.1004096623423,35.1004096623423,True,ok,8192
pkt_216,emergency_1,rsu_2,35.1,35.1,35.1,35.10040984344728,35.10040984344728,True,ok,8192
pkt_222,flow_ns_j2.0,rsu_13,35.1,35.1,35.1,35.10040981752354,35.10040981752354,True,ok,8192
pkt_223,flow_ns_j3.0,rsu_18,35.1,35.1,35.1,35.10040981420445,35.10040981420445,True,ok,8192
pkt_225,test_vehicle_4,rsu_20,35.1,35.1,35.1,35.10040969824293,35.10040969824293,True,ok,8192
pkt_221,flow_ew_j2.2,rsu_0,35.1,35.1,35.2,35.20040971641908,35.20040971641908,True,ok,8192
pkt_219,flow_ew_j2.0,rsu_1,35.1,35.1,35.2,35.20040971940317,35.20040971940317,True,ok,8192
pkt_224,test_vehicle_3,rsu_2,35.1,35.1,35.2,35.20040967696619,35.20040967696619,True,ok,8192
pkt_220,flow_ew_j2.1,rsu_1,35.1,35.1,35.3,35.30040979271761,35.30040979271761,True,ok,8192
pkt_226,flow_ns_j2.1,rsu_12,35.4,35.4,35.4,35.40040961781697,35.40040961781697,True,ok,8192
pkt_228,test_vehicle_2,rsu_14,35.4,35.4,35.4,35.40040965336539,35.40040965336539,True,ok,8192
pkt_227,test_vehicle_1,rsu_15,35.4,35.4,35.4,35.4004097689009,35.4004097689009,True,ok,8192
pkt_231,flow_ew_full.1,rsu_0,36.1,36.1,36.1,36.10040981817587,36.10040981817587,True,ok,8192
pkt_230,flow_ew_full.0,rsu_1,36.1,36.1,36.1,36.10040971045995,36.10040971045995,True,ok,8192
pkt_229,emergency_1,rsu_2,36.1,36.1,36.1,36.10040979582921,36.10040979582921,True,ok,8192
pkt_235,flow_ns_j2.0,rsu_13,36.1,36.1,36.1,36.100409774263206,36.100409774263206,True,ok,8192
pkt_236,flow_ns_j3.0,rsu_18,36.1,36.1,36.1,36.100409853671806,36.100409853671806,True,ok,8192
pkt_238,test_vehicle_4,rsu_20,36.1,36.1,36.1,36.10040964835036,36.10040964835036,True,ok,8192
pkt_234,flow_ew_j2.2,rsu_0,36.1,36.1,36.2,36.20040976370758,36.20040976370758,True,ok,8192
pkt_232,flow_ew_j2.0,rsu_1,36.1,36.1,36.2,36.20040975763977,36.20040975763977,True,ok,8192
pkt_237,test_vehicle_3,rsu_2,36.1,36.1,36.2,36.20040963074455,36.20040963074455,True,ok,8192
pkt_233,flow_ew_j2.1,rsu_1,36.1,36.1,36.3,36.300409751837975,36.300409751837975,True,ok,8192
pkt_239,flow_ns_j2.1,rsu_12,36.4,36.4,36.4,36.40040966547744,36.40040966547744,True,ok,8192
